eventID,parentEventID,eventType,locality,eventDate,eventName
36,35,Observation,Cannonvale,6/6/2023,bird survey local park honeyeater lookout point
37,,siteVisit,Cannonvale,20/6/2023,bird survey local park honeyeater lookout point
38,37,Sample,Cannonvale,20/6/2023,bird survey local park honeyeater lookout point
39,38,Observation,Cannonvale,20/6/2023,bird survey local park honeyeater lookout point
40,,siteVisit,Cannonvale,4/7/2023,bird survey local park honeyeater lookout point
41,40,Sample,Cannonvale,4/7/2023,bird survey local park honeyeater lookout point
42,41,Observation,Cannonvale,4/7/2023,bird survey local park honeyeater lookout point
43,,siteVisit,Cannonvale,18/7/2023,bird survey local park honeyeater lookout point
44,43,Sample,Cannonvale,18/7/2023,bird survey local park honeyeater lookout point
45,44,Observation,Cannonvale,18/7/2023,bird survey local park honeyeater lookout point
46,,siteVisit,Cannonvale,1/8/2023,bird survey local park honeyeater lookout point
47,46,Sample,Cannonvale,1/8/2023,bird survey local park honeyeater lookout point
48,47,Observation,Cannonvale,1/8/2023,bird survey local park honeyeater lookout point
49,,siteVisit,Cannonvale,15/8/2023,bird survey local park honeyeater lookout point
50,49,Sample,Cannonvale,15/8/2023,bird survey local park honeyeater lookout point
51,50,Observation,Cannonvale,15/8/2023,bird survey local park honeyeater lookout point
52,,siteVisit,Cannonvale,29/8/2023,bird survey local park honeyeater lookout point
53,52,Sample,Cannonvale,29/8/2023,bird survey local park honeyeater lookout point
54,53,Observation,Cannonvale,29/8/2023,bird survey local park honeyeater lookout point
55,,siteVisit,Cannonvale,12/9/2023,bird survey local park honeyeater lookout point
56,55,Sample,Cannonvale,12/9/2023,bird survey local park honeyeater lookout point
57,56,Observation,Cannonvale,12/9/2023,bird survey local park honeyeater lookout point
58,,siteVisit,Cannonvale,26/9/2023,bird survey local park honeyeater lookout point
59,58,Sample,Cannonvale,26/9/2023,bird survey local park honeyeater lookout point
60,59,Observation,Cannonvale,26/9/2023,bird survey local park honeyeater lookout point
61,,siteVisit,Cannonvale,10/10/2023,bird survey local park honeyeater lookout point
62,61,Sample,Cannonvale,10/10/2023,bird survey local park honeyeater lookout point
63,62,Observation,Cannonvale,10/10/2023,bird survey local park honeyeater lookout point
64,,siteVisit,Cannonvale,24/10/2023,bird survey local park honeyeater lookout point
65,64,Sample,Cannonvale,24/10/2023,bird survey local park honeyeater lookout point
66,65,Observation,Cannonvale,24/10/2023,bird survey local park honeyeater lookout point
67,,siteVisit,Cannonvale,7/11/2023,bird survey local park honeyeater lookout point
68,67,Sample,Cannonvale,7/11/2023,bird survey local park honeyeater lookout point
69,68,Observation,Cannonvale,7/11/2023,bird survey local park honeyeater lookout point
70,,siteVisit,Cannonvale,21/11/2023,bird survey local park honeyeater lookout point
71,70,Sample,Cannonvale,21/11/2023,bird survey local park honeyeater lookout point
72,71,Observation,Cannonvale,21/11/2023,bird survey local park honeyeater lookout point
73,,siteVisit,Cannonvale,5/12/2023,bird survey local park honeyeater lookout point
74,73,Sample,Cannonvale,5/12/2023,bird survey local park honeyeater lookout point
75,74,Observation,Cannonvale,5/12/2023,bird survey local park honeyeater lookout point
76,,siteVisit,Cannonvale,19/12/2023,bird survey local park honeyeater lookout point
77,76,Sample,Cannonvale,19/12/2023,bird survey local park honeyeater lookout point
78,77,Observation,Cannonvale,19/12/2023,bird survey local park honeyeater lookout point
